NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;1991-11-01 00:00:00;1000.1;1011.6;6.3;3.1;8.8;4;8.8;93;17;60;4;5;30;5;30;30;;;;;0;2;7;3;0;;;;;;22;7;0;1;2;6;12.4;1991-11-02 00:00:00;1.7;1991-11-21 00:00:00;14;1991-11-01 00:00:00;-0.5;1991-11-25 00:00:00;16.4;1991-11-03 00:00:00;25;1991-11-01 00:00:00;;;6;18
07015;1991-11-01 00:00:00;;;5.5;;;;;122;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07020;1991-11-01 00:00:00;1010.3;1011.4;10.1;1.9;11.7;8.4;10.9;90;17;;11;15;30;15;30;0;;;;;;;8;1;0;;;;;;29;16;4;;;;14.7;1991-11-01 00:00:00;7.6;1991-11-24 00:00:00;15;1991-11-01 00:00:00;4.4;1991-11-25 00:00:00;12.4;1991-11-18 00:00:00;34;1991-11-12 00:00:00;;;6;18
07027;1991-11-01 00:00:00;1004.8;1013;7.8;2.9;10.9;4.9;8.7;118;15;86;0;0;30;0;30;30;;;;;;;8;4;0;;;;;;21;5;0;0;0;3;14.1;1991-11-01 00:00:00;4.2;1991-11-24 00:00:00;15.9;;;;19.7;1991-11-11 00:00:00;22;1991-11-03 00:00:00;;;6;18
07037;1991-11-01 00:00:00;993.6;1012.8;5.9;3.1;8.7;3.4;8.8;87;15;56;6;6;30;6;30;30;;;;;0;4;8;3;0;;;;;;22;1;0;0;1;8;12.2;1991-11-02 00:00:00;1.6;1991-11-22 00:00:00;14.6;1991-11-02 00:00:00;-1.8;1991-11-22 00:00:00;17.8;1991-11-11 00:00:00;22;1991-11-04 00:00:00;1;0;6;18
07110;1991-11-01 00:00:00;999.9;1013.8;9;;;;10.5;108;17;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07149;1991-11-01 00:00:00;1003;1014.8;6.2;3.6;9.3;3.5;8.7;63;13;;30;30;30;30;30;0;;;;;0;3;5;1;0;;;;;;20;3;0;0;1;3;13;1991-11-02 00:00:00;1.2;1991-11-24 00:00:00;16.3;1991-11-01 00:00:00;-2.4;1991-11-24 00:00:00;16;1991-11-12 00:00:00;23;1991-11-03 00:00:00;1;1;6;18
07190;1991-11-01 00:00:00;996.9;1017.1;5.1;;;;7.8;40;8;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07207;1991-11-01 00:00:00;1009.9;1015.1;10.9;2.1;12.7;8.7;12.2;79;15;77;13;30;30;30;30;30;;;;;;;6;1;0;;;;;;27;13;4;2;2;4;15.2;1991-11-01 00:00:00;7.3;1991-11-21 00:00:00;15.6;1991-11-01 00:00:00;4.8;1991-11-22 00:00:00;11.5;1991-11-13 00:00:00;38;1991-11-04 00:00:00;;;6;18
07222;1991-11-01 00:00:00;1011.6;1015.5;8.2;;;;10.1;94;14;83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07240;1991-11-01 00:00:00;1001.7;1015.4;6.7;4;10.3;3.7;9.1;66;12;78;0;0;30;0;30;30;;;;;0;;4;1;0;;;;;;17;3;0;0;0;6;13.3;1991-11-01 00:00:00;0.4;1991-11-24 00:00:00;18.2;1991-11-01 00:00:00;-2.3;1991-11-24 00:00:00;23.6;1991-11-12 00:00:00;23;1991-11-04 00:00:00;;;6;18
07255;1991-11-01 00:00:00;995.4;1016.2;6.4;4;9.9;3.5;9.2;92;14;64;0;0;30;0;30;30;;;;;0;;7;3;0;;;;;;16;4;0;0;1;5;13;1991-11-03 00:00:00;-0.6;1991-11-23 00:00:00;20.3;;;;21.9;1991-11-12 00:00:00;21;1991-11-04 00:00:00;1;0;6;18
07280;1991-11-01 00:00:00;988.5;1017.3;5.2;;;;8.1;58;14;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07299;1991-11-01 00:00:00;984.1;1017.3;5.3;3.7;8.6;2.5;7.2;89;13;59;0;0;30;0;30;30;;;;;0;;6;2;0;;;;;;11;3;1;0;0;5;13.7;1991-11-03 00:00:00;1.8;1991-11-29 00:00:00;18.8;1991-11-03 00:00:00;-2.6;1991-11-27 00:00:00;27;1991-11-13 00:00:00;30;1991-11-04 00:00:00;0;1;6;18
07335;1991-11-01 00:00:00;1001.7;1016.2;7;4.3;11.1;3.5;9.4;102;16;93;0;2;30;2;30;30;;;;;0;;9;2;0;;;;;;17;3;0;0;0;2;13.9;1991-11-01 00:00:00;-0.6;1991-11-24 00:00:00;18.6;1991-11-01 00:00:00;-5.4;1991-11-24 00:00:00;25.2;1991-11-12 00:00:00;22;1991-11-03 00:00:00;1;2;6;18
07434;1991-11-01 00:00:00;969;1017.5;6.1;3.7;9;3.7;9.2;128;15;71;0;0;30;0;30;30;;;;;0;;9;6;0;;;;;;17;1;0;1;1;7;12;1991-11-03 00:00:00;-0.1;1991-11-24 00:00:00;16;;;;21.6;1991-11-13 00:00:00;21;1991-11-04 00:00:00;;;6;18
07460;1991-11-01 00:00:00;976.8;1016.8;6.6;4.4;10.6;2.8;8.4;32;7;92;0;0;30;0;30;30;;;;;0;;3;1;0;;;;;;21;1;0;0;0;1;15;1991-11-03 00:00:00;1.4;1991-11-30 00:00:00;18.8;1991-11-03 00:00:00;-4.3;1991-11-30 00:00:00;13.6;1991-11-20 00:00:00;23;1991-11-04 00:00:00;;;6;18
07471;1991-11-01 00:00:00;;;3.4;4.2;7.3;-0.1;6.2;43;10;84;0;30;30;30;30;30;;;;;3;15;2;1;0;;1;0;;;24;2;0;0;0;4;11.7;1991-11-03 00:00:00;-2.3;1991-11-24 00:00:00;15.6;1991-11-03 00:00:00;-8.1;1991-11-25 00:00:00;14.2;1991-11-13 00:00:00;22;1991-11-13 00:00:00;;;6;18
07481;1991-11-01 00:00:00;988.3;1017.5;7.1;3.8;10.6;4.4;7.9;67;13;79;0;0;30;0;30;30;;;;;0;;4;1;0;;;;;;19;5;0;0;0;1;14.9;1991-11-03 00:00:00;3.3;1991-11-23 00:00:00;18.8;1991-11-03 00:00:00;-0.9;1991-11-11 00:00:00;25;1991-11-13 00:00:00;28;1991-11-13 00:00:00;0;1;6;18
07510;1991-11-01 00:00:00;1010.1;1017.2;9;;;;10.7;186;16;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07535;1991-11-01 00:00:00;;1017.9;7.7;4;11.2;4.9;9.5;100;13;73;0;2;30;2;30;30;;;;;0;;8;3;0;;;;;;15;0;0;0;0;1;13.9;1991-11-03 00:00:00;1.8;1991-11-24 00:00:00;17.3;1991-11-01 00:00:00;-1.4;1991-11-11 00:00:00;24.2;1991-11-14 00:00:00;17;1991-11-03 00:00:00;;;6;18
07560;1991-11-01 00:00:00;;;0.7;3.5;3.4;-1.8;5.5;86;15;;0;30;30;30;30;0;;;;;6;23;6;2;0;;11;9;;;29;18;4;4;21;23;8.1;1991-11-27 00:00:00;-4.2;1991-11-06 00:00:00;11.4;1991-11-27 00:00:00;-6.4;1991-11-07 00:00:00;16.8;1991-11-03 00:00:00;34;1991-11-17 00:00:00;;;6;18
07577;1991-11-01 00:00:00;1008.6;1017.4;8.3;3.4;12.1;5.3;9.2;51;7;100;0;30;30;0;30;30;;;;;0;2;4;1;0;;;;;;18;1;0;0;0;2;13.9;1991-11-03 00:00:00;4.4;1991-11-25 00:00:00;16.9;1991-11-04 00:00:00;-1.5;1991-11-11 00:00:00;22.2;1991-11-13 00:00:00;22;1991-11-08 00:00:00;;;6;18
07591;1991-11-01 00:00:00;914.2;;4;3.9;9.4;0.4;6;123;9;144;0;0;30;0;30;30;;;;;0;;6;6;0;;2;2;;;14;0;0;0;0;1;9.5;1991-11-30 00:00:00;0.3;1991-11-17 00:00:00;14.7;1991-11-03 00:00:00;-3.8;1991-11-17 00:00:00;31.2;1991-11-13 00:00:00;19;1991-11-30 00:00:00;;;6;18
07607;1991-11-01 00:00:00;1010.8;1018;8.8;4.3;13.3;5.4;10.7;185;17;84;1;1;30;1;30;30;;;;;0;;11;7;0;;;;;;11;0;0;0;0;4;14.2;1991-11-03 00:00:00;1.7;1991-11-23 00:00:00;21.2;1991-11-01 00:00:00;-1.8;1991-11-11 00:00:00;33.8;1991-11-15 00:00:00;17;1991-11-04 00:00:00;2;1;6;18
07621;1991-11-01 00:00:00;974.6;1018.5;7.7;4.5;12.8;4;9.3;188;15;91;0;0;30;0;30;30;;;;;0;;10;8;0;;2;0;;;12;0;0;;;;14.1;1991-11-03 00:00:00;1;1991-11-23 00:00:00;20.7;1991-11-03 00:00:00;-1.9;1991-11-24 00:00:00;42.4;1991-11-15 00:00:00;19;1991-11-15 00:00:00;;;6;18
07627;1991-11-01 00:00:00;969.1;1018.7;7.1;4.5;12.1;3.2;9.1;93;11;102;0;0;30;0;30;30;;;;;0;;8;3;0;;;;;;11;1;0;;;;14.6;1991-11-03 00:00:00;1.1;1991-11-24 00:00:00;20.9;1991-11-03 00:00:00;-4;1991-11-24 00:00:00;19;1991-11-16 00:00:00;22;1991-11-16 00:00:00;;;6;18
07630;1991-11-01 00:00:00;999.8;1018.1;9;;;;10.5;88;14;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07643;1991-11-01 00:00:00;1017.3;1017.3;10.2;3.3;14.3;6.8;9.8;11;4;118;0;0;30;0;30;30;;;;;0;;0;;;;;;;;16;0;0;0;0;2;14;1991-11-03 00:00:00;4.6;1991-11-25 00:00:00;18.4;1991-11-09 00:00:00;-0.5;1991-11-25 00:00:00;3.4;1991-11-14 00:00:00;19;1991-11-06 00:00:00;;;6;18
07650;1991-11-01 00:00:00;1012.8;1016.7;10.7;;;;10.5;20;3;134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07690;1991-11-01 00:00:00;1013.8;1015;11.2;;;;9.7;119;9;167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07747;1991-11-01 00:00:00;1012.9;1019;10.8;;;;11.2;10;3;145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07761;1991-11-01 00:00:00;1015.4;1015.6;11.6;;;;11.5;96;9;119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61996;1991-11-01 00:00:00;1016.3;1019.9;13.6;;;;13.3;78;15;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61998;1991-11-01 00:00:00;996.4;1000.1;5.3;;;;6.9;43;9;176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78897;1991-11-01 00:00:00;;;25.6;;;;;322;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
